,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.13,1.1400000000000001,1.15,1.16,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.3
2,1.0201,1.0404,1.0609,1.0816000000000001,1.1025,1.1236000000000002,1.1449,1.1664,1.1881000000000002,1.2100000000000002,1.2321000000000002,1.2544000000000002,1.2768999999999997,1.2996000000000003,1.3224999999999998,1.3456,1.3688999999999998,1.3923999999999999,1.4161,1.44,1.4641,1.4884,1.5129,1.5376,1.5625,1.5876000000000001,1.6129,1.6384,1.6641000000000001,1.6900000000000002
3,1.030301,1.061208,1.092727,1.124864,1.1576250000000001,1.1910160000000003,1.225043,1.2597120000000002,1.2950290000000002,1.3310000000000004,1.3676310000000003,1.4049280000000004,1.4428969999999994,1.4815440000000004,1.5208749999999995,1.5608959999999998,1.6016129999999997,1.6430319999999998,1.6851589999999999,1.728,1.771561,1.815848,1.8608669999999998,1.906624,1.953125,2.000376,2.048383,2.0971520000000003,2.1466890000000003,2.1970000000000005
4,1.04060401,1.08243216,1.1255088100000001,1.1698585600000002,1.2155062500000002,1.2624769600000003,1.3107960100000002,1.3604889600000003,1.4115816100000003,1.4641000000000006,1.5180704100000004,1.5735193600000006,1.6304736099999992,1.6889601600000006,1.7490062499999994,1.8106393599999997,1.8738872099999995,1.9387777599999998,2.00533921,2.0736,2.14358881,2.2153345599999996,2.28886641,2.36421376,2.44140625,2.5204737600000002,2.60144641,2.6843545600000005,2.7692288100000004,2.856100000000001
5,1.0510100501,1.1040808032,1.1592740743,1.2166529024000003,1.2762815625000004,1.3382255776000005,1.4025517307000004,1.4693280768000003,1.5386239549000005,1.6105100000000008,1.6850581551000006,1.7623416832000007,1.842435179299999,1.9254145824000009,2.0113571874999994,2.1003416575999996,2.192448035699999,2.2877577567999996,2.3863536598999997,2.48832,2.5937424600999996,2.7027081631999996,2.8153056842999997,2.9316250624,3.0517578125,3.1757969376000004,3.3038369406999997,3.4359738368000006,3.572305164900001,3.7129300000000014
6,1.061520150601,1.126162419264,1.1940522965290001,1.2653190184960004,1.3400956406250004,1.4185191122560006,1.5007303518490005,1.5868743229440005,1.6771001108410006,1.771561000000001,1.8704145521610007,1.973822685184001,2.0819517526089983,2.194972623936001,2.313060765624999,2.4363963228159995,2.5651642017689986,2.6995541530239993,2.8397608552809994,2.9859839999999997,3.1384283767209995,3.2973039591039996,3.4628259916889994,3.6352150773760004,3.814697265625,4.001504141376,4.195872914689,4.398046511104001,4.608273662721001,4.826809000000002
7,1.0721353521070098,1.14868566764928,1.2298738654248702,1.3159317792358405,1.4071004226562505,1.5036302589913606,1.6057814764784306,1.7138242687795207,1.8280391208166908,1.9487171000000014,2.076160152898711,2.2106814074060814,2.352605480448168,2.5022687912870416,2.6600198804687487,2.826219734466559,3.001242116069728,3.185473900568319,3.3793154177843894,3.5831807999999996,3.7974983358324095,4.022710830106879,4.25927596977747,4.507666695946241,4.76837158203125,5.04189521813376,5.3287586016550295,5.629499534213121,5.944673024910092,6.274851700000003
8,1.08285670562808,1.1716593810022657,1.2667700813876164,1.368569050405274,1.477455443789063,1.5938480745308423,1.718186179831921,1.8509302102818825,1.9925626416901931,2.1435888100000016,2.304537769717569,2.4759631762948113,2.6584441929064297,2.852586422067228,3.0590228625390607,3.2784148919812086,3.5114532758015815,3.7588592026706165,4.021385347163423,4.299816959999999,4.594972986357216,4.907707212730393,5.238909442826287,5.589506702973338,5.9604644775390625,6.352787974848538,6.767523424101888,7.205759403792795,7.668628202134019,8.157307210000004
9,1.0936852726843609,1.195092568622311,1.304773183829245,1.4233118124214852,1.5513282159785162,1.6894789590026928,1.8384592124201555,1.9990046271044333,2.1718932794423105,2.357947691000002,2.558036924386502,2.773078757450189,3.0040419379842653,3.25194852115664,3.5178762919199196,3.8029612746982018,4.10840033268785,4.435453859151327,4.785448563124473,5.159780351999999,5.559917313492231,5.987402799531079,6.4438586146763335,6.9309883116869395,7.450580596923828,8.004512848309158,8.594754748609397,9.223372036854778,9.892530380752884,10.604499373000007
